"T","G","weight","cohort_raw","cohort_year","cohort_lab"
215,17,0.00167097463226162,194,2020,"Cohort 2020"
216,17,0.00257091695958034,194,2020,"Cohort 2020"
217,17,0.000338193580991956,194,2020,"Cohort 2020"
218,17,0.00161014483788074,194,2020,"Cohort 2020"
219,17,0.00128718402236866,194,2020,"Cohort 2020"
220,17,0.00166109040296371,194,2020,"Cohort 2020"
221,17,0.000647844626863555,194,2020,"Cohort 2020"
222,17,0.00133667500814779,194,2020,"Cohort 2020"
223,17,0.0009652985621899,194,2020,"Cohort 2020"
224,17,0.00162199986716421,194,2020,"Cohort 2020"
225,17,0.00132607524876279,194,2020,"Cohort 2020"
226,17,0.000330984532823297,194,2020,"Cohort 2020"
227,17,0.000642258784003788,194,2020,"Cohort 2020"
228,17,0.000904271945063722,194,2020,"Cohort 2020"
229,17,0.00125178166813215,194,2020,"Cohort 2020"
230,17,0.00127892271595624,194,2020,"Cohort 2020"
231,17,0.000898884179049673,194,2020,"Cohort 2020"
232,17,0.000906286780141964,194,2020,"Cohort 2020"
233,17,0.000258774012144462,194,2020,"Cohort 2020"
234,17,0.00119381712953175,194,2020,"Cohort 2020"
235,17,0.00115531455155889,194,2020,"Cohort 2020"
236,17,0.000985640055916914,194,2020,"Cohort 2020"
237,17,0.00148707677761109,194,2020,"Cohort 2020"
238,17,0.000621936963827629,194,2020,"Cohort 2020"
239,17,0.000932536644599728,194,2020,"Cohort 2020"
201,26,0.0010428659260705,201,2020,"Cohort 2020"
202,26,0.00199331225902207,201,2020,"Cohort 2020"
203,26,0.00141570515718239,201,2020,"Cohort 2020"
204,26,0.00303759437088945,201,2020,"Cohort 2020"
205,26,0.00242103843416446,201,2020,"Cohort 2020"
206,26,0.00270884424122854,201,2020,"Cohort 2020"
207,26,0.00135000654789435,201,2020,"Cohort 2020"
208,26,0.00143060316469268,201,2020,"Cohort 2020"
209,26,0.0019899529060949,201,2020,"Cohort 2020"
210,26,0.00272651958078341,201,2020,"Cohort 2020"
211,26,0.00278954555485112,201,2020,"Cohort 2020"
212,26,0.00360330765436855,201,2020,"Cohort 2020"
213,26,0.00173862491539519,201,2020,"Cohort 2020"
214,26,0.00108905605001199,201,2020,"Cohort 2020"
215,26,0.00104377732242851,201,2020,"Cohort 2020"
216,26,0.00134038187055223,201,2020,"Cohort 2020"
217,26,0.00105577328604741,201,2020,"Cohort 2020"
218,26,0.00167879907633332,201,2020,"Cohort 2020"
219,26,0.0016776342664134,201,2020,"Cohort 2020"
220,26,0.00138379571313303,201,2020,"Cohort 2020"
221,26,0.00236357212785605,201,2020,"Cohort 2020"
222,26,0.00104369879918239,201,2020,"Cohort 2020"
223,26,0.00234847924561004,201,2020,"Cohort 2020"
224,26,0.00202878492674014,201,2020,"Cohort 2020"
225,26,0.00138099863952485,201,2020,"Cohort 2020"
226,26,0.000689430761027625,201,2020,"Cohort 2020"
227,26,0.00167430119846205,201,2020,"Cohort 2020"
228,26,0.00189092897627053,201,2020,"Cohort 2020"
229,26,0.000653352529447104,201,2020,"Cohort 2020"
230,26,0.00066692305335915,201,2020,"Cohort 2020"
231,26,0.0015667945368687,201,2020,"Cohort 2020"
232,26,0.000947479323213509,201,2020,"Cohort 2020"
233,26,0.00190753401884484,201,2020,"Cohort 2020"
234,26,0.000624370260146903,201,2020,"Cohort 2020"
235,26,0.00121023794232095,201,2020,"Cohort 2020"
237,26,0.000622292406425465,201,2020,"Cohort 2020"
238,26,0.00129879731841732,201,2020,"Cohort 2020"
239,26,0.000649152791780849,201,2020,"Cohort 2020"
228,28,0.00342055248643761,228,2022,"Cohort 2022"
229,28,0.00141430673595556,228,2022,"Cohort 2022"
230,28,0.00216217167566949,228,2022,"Cohort 2022"
231,28,0.00340259326639079,228,2022,"Cohort 2022"
232,28,0.00274181488269207,228,2022,"Cohort 2022"
233,28,0.00269464751190285,228,2022,"Cohort 2022"
234,28,0.00271268439471033,228,2022,"Cohort 2022"
235,28,0.00131783961938231,228,2022,"Cohort 2022"
236,28,0.00147671180904597,228,2022,"Cohort 2022"
237,28,0.00371851284725879,228,2022,"Cohort 2022"
238,28,0.00351599748869668,228,2022,"Cohort 2022"
239,28,0.00175738407577882,228,2022,"Cohort 2022"
169,33,0.00137107201686197,169,2018,"Cohort 2018"
170,33,0.000677794447669582,169,2018,"Cohort 2018"
171,33,0.000679703536016186,169,2018,"Cohort 2018"
172,33,0.00231049661540961,169,2018,"Cohort 2018"
173,33,0.0016246174943587,169,2018,"Cohort 2018"
174,33,0.00065729311025921,169,2018,"Cohort 2018"
